Species,Geolocation,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual,2022 Quarter 1,2022 Quarter 2,2022 Quarter 3,2022 Quarter 4,2022 Annual,2023 Quarter 1,2023 Quarter 2,2023 Quarter 3,2023 Quarter 4,2023 Annual,2024 Quarter 1,2024 Quarter 2,2024 Quarter 3,2024 Quarter 4,2024 Annual
..Tilapia,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),456.26,626.2,1520.79,1625.96,4229.21,476.56,567.64,1490.56,1622.45,4157.22,477.56,553.26,1561.23,1656.46,4248.51,480.12,553.67,1635.51,2756.36,5425.66,573.71,546.09,1554.93,2775.13,5449.85,583.3,546.93,1576.02,3374.87,6081.12,586.71,607.4,1592.15,3375.93,6162.19,632.03,632.31,1655.9,3500.93,6421.17,703.6,653.28,2755.59,5180.84,9293.31,719.51,662.46,2791.26,5345.21,9518.44,680.39,679.78,2726.27,5544.03,9630.48,381.18,635.36,2742.1,5544.66,9303.3,4021.52,901.21,2224.97,3752.34,10900.04,2169.73,849.1,2357.64,5026.97,10403.43,1703.35,1386.13,1645.42,4560.51,9295.41
Hog,PHILIPPINES,455481,459398,444904,538375,1898158,458391,466009,457647,558300,1940347,474048,460142,466360,573067,1973617,475746,480501,474534,581392,2012173,481712,484286,481998,584307,2032303,499889,511422,500112,608910,2120333,527213,549315,522837,632295,2231660,545670,542065,527602,649678,2265015,558725,557273,541034,662732,2319764,567419,580110,551616,597505.806,2296650.806,568672.6288,550017.2744,508905.9877,515050.8454,2142646.736,421793.69,406065.9501,418073.7916,450216.1872,1696149.619,416721.6723,418403.3504,436678.1258,465315.9333,1737119.082,437993.0258,422718.7332,450901.5162,482316.6524,1793929.928,419369.3383,422064.148,414611.4096,447742.1491,1703787.045
Hog,..National Capital Region (NCR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.92,71.871094,75.522946,240.314039,125.884,9.28,18.65,17.745,171.559,11.375,1.092,94.916502,18.193245,125.576747,12.91234,5.41625,0,0,18.32859
Hog,..Cordillera Administrative Region (CAR),8664,9706,7227,10268,35865,7643,8747,7368,9592,33350,6817,7566,7408,9798,31589,6580,7680,6866,9407,30533,6342,7170,6648,8611,28771,5496,6545,6491,8215,26747,5910,6757,6044,7650,26361,5575,6310,6151,7797,25833,5817,5941,6694,8203,26655,6309,6252,6385,7701.45,26647.45,6105.906189,5709.165088,7300.509,6666.347,25781.92728,5364.28,5382.82,6100.779092,5041.133831,21889.01292,5395.319318,4245.455253,5555.528432,5252.499,20448.802,5667.454669,4649.077825,6175.852984,5631.884899,22124.27038,6136.153722,5003.15992,5346.434968,4776.961631,21262.71024
Hog,..Region I (Ilocos Region),17575,19028,16558,20753,73914,18387,19450,16958,21156,75951,19220,21261,18883,22342,81706,19813,21819,19396,21949,82977,19528,20959,18730,22392,81609,20283,20869,19376,22203,82731,20913,22589,19412,23639,86553,22006,23482,19957,24620,90065,22061,25607,21649,25367,94684,23700,26014,21481,23373.002,94568.002,25702.35831,24021.67679,22977.34157,19521.99937,92223.37604,15252.18,14804.11,13282.58047,14321.21537,57660.08584,12475.82988,11544.77671,13010.45329,16031.26541,53062.32528,17784.14434,15530.42483,16470.56407,18699.09657,68484.2298,17774.12461,16626.50031,16481.34517,17525.95291,68407.92301
Hog,..Region II (Cagayan Valley),17338,17841,15358,15567,66104,17078,17104,15854,16203,66239,17311,17153,16961,17100,68525,17456,16801,17264,17245,68766,17540,16120,16215,17218,67093,17663,16741,16861,17588,68853,17702,18426,17205,18023,71356,17763,18270,17529,19307,72869,17634,17102,17694,19375,71805,17554,17655,17801,19478.002,72488.002,17489.50244,18136.565,18703.0821,14592.587,68921.73654,13825.86,8462.8,9685.993,7696.051602,39670.7046,8160.957,6822.31569,8418.782,8650.41626,32052.47095,8578.1721,8099.43168,9409.28423,9354.869027,35441.75704,9116.2129,8714.69688,10099.49662,8868.30132,36798.70772
Hog,..Region III (Central Luzon),63927,60610,70248,94256,289041,66829,63029,76068,103729,309655,70415,68733,81024,118321,338493,76752,80316,83115,122158,362341,81383,84068,86674,128549,380674,86014,94607,98953,142960,422534,96483,110047,105608,150292,462430,104566,93030,99610,150311,447517,109400,101748,104463,156941,472552,111603,106003,102919,97223,417748,112574.6407,104431.201,55946.502,49457.153,322409.4967,27193.68,23952.02,26664.74255,26971.72725,104782.1698,28547.19358,31060.31762,33803.19311,38490.6183,131901.3226,40269.59075,42346.703,46154.97754,51416.43721,180187.7085,48941.85154,50069.49351,48445.67456,54982.02213,202439.0417
Hog,..Region IV-A (CALABARZON),61717,70830,66688,77731,276966,60483,73254,71447,86924,292108,70066,70319,71160,85537,297082,69104,76102,74807,89473,309486,71206,79241,78219,86932,315598,74612,88835,80927,91975,336349,85019,94908,87539,97590,365056,86913,95370,88771,100659,371713,91077,97579,89260,103674,381590,92270,103434,96744,103096.95,395544.95,87710.84609,87896.92362,90887.027,82016.61652,348511.4132,44193.44,39807.57,52479.67421,51421.15162,187901.8358,51726.26121,46671.64152,52788.24503,52055.015,203241.1628,61183.95331,53843.25941,59807.87368,58369.03203,233204.1184,63504.08989,57608.31728,60526.23949,53882.12923,235520.7759
Hog,..MIMAROPA Region,13569,17552,15211,20028,66360,13295,18392,15944,20661,68292,13623,19017,16570,21397,70607,14096,19687,17358,21964,73105,14267,20304,17524,22127,74222,14733,22667,17556,22710,77666,14899,23413,17878,23395,79585,15073,24886,18940,24148,83047,16279,24828,17906,21827,80840,17370,23728,17979,20303.93,79380.93,15899.44282,24248.69425,18841.25016,20804.756,79794.14323,21627.87,26292.61,20371.2375,23418.8621,91710.5796,17402.95906,27780.058,19436.896,27563.222,92183.13506,19094.124,31466.83523,29539.03039,31476.6954,111576.685,19180.51398,23780.49905,20918.87098,22898.99271,86778.87671
Hog,..Region V (Bicol Region),32340,28941,24464,32534,118279,33291,28307,26671,30676,118945,32289,26326,26751,27927,113293,31163,27571,27104,28420,114258,34113,29190,28409,29647,121359,35223,29181,28483,30724,123611,32578,28427,29304,31234,121543,33570,30306,29722,33005,126603,34687,31589,31236,32551,130063,35329,32652,31794,33471,133246,33675.245,27351.568,29974.381,28879.619,119880.813,30028.34,21196.53,23930.71224,24057.092,99212.67424,27148.8539,22552.55466,25150.844,25649.48347,100501.736,26038.42778,23186.68508,26417.45684,30548.34164,106190.9113,27180.51797,24150.5598,20915.37236,27132.18682,99378.63695
Hog,..Region VI (Western Visayas),41406,44914,47142,47579,181041,42006,45153,46953,48371,182483,43894,43542,46183,50885,184504,44579,42232,46808,48978,182597,42544,40850,45798,49332,178524,44016,41415,43791,49112,178334,46684,44301,46657,51116,188758,45997,44956,45605,50042,186600,45221,44920,45831,51133,187105,46975,48818,46472,49633.89,191898.89,48130.24914,47879.48088,48224.308,51063.82969,195297.8677,48930.92,47230.58,50927.13241,53194.72435,200283.3568,49055.31892,49059.00278,52535.65407,54389.55038,205039.5261,52879.85804,42025.718,33109.82331,30455.07071,158470.4701,24688.99117,24391.05504,24742.72473,26724.4876,100547.2585
Hog,..Region VII (Central Visayas),37299,35877,31867,43293,148336,38242,37379,32216,44995,152832,39274,37882,32366,46223,155745,37457,39056,33325,46490,156328,35840,38333,34709,47887,156769,37589,39538,36177,50227,163531,40777,41914,39366,53048,175105,44450,46916,43293,57540,192199,46248,47367,45148,55709,194472,46058,47416,46361,52922.96,192757.96,49905.046,44945.821,45156.011,52864.258,192871.136,53660.38,55152.35,49724.275,50217.86195,208754.867,56834.377,57429.10703,58077.29508,56800.899,229141.6781,57915.514,54444.13,67657.89366,63036.8487,243054.3864,51954.52962,62342.20104,51681.14367,52224.74798,218202.6223
Hog,..Region VIII (Eastern Visayas),28873,24069,22563,28556,104061,28237,22840,21329,28822,101228,24186,18908,19676,26470,89240,22801,17259,19546,26353,85959,19453,16154,18246,22754,76607,19506,15482,18711,22803,76502,19331,15882,17954,23223,76390,19571,16802,17433,22642,76448,18468,18316,18501,22687,77972,17119,18724,18867,22811.78,77521.78,19097.7778,18869.807,19449.716,24537.271,81954.5718,18405.58,15329.84,18190.977,26215.82812,78142.22512,7409.019509,9559.392,11416.12768,22685.482,51070.02118,7767.87365,9657.157,11845.5669,24469.95823,53740.55578,8934.7837,10160.35433,14932.10622,24772.65088,58799.89513
Hog,..Region IX (Zamboanga Peninsula),21853,27121,21348,23750,94072,21987,26459,18394,22580,89420,22094,21702,18587,21611,83994,22875,21104,17656,20602,82237,22538,20171,17719,19748,80176,22552,21291,17961,19517,81321,22126,20361,17726,19838,80051,22876,21006,17314,21003,82199,22189,20668,17572,21655,82084,20355,22605,17192,21983.06,82135.06,18921.23785,21802.11651,18868.43366,23358.68429,82950.4723,18336.65,25719.1,16556.81825,24534.335,85146.90325,19543.78605,28799.81528,22968.15231,25087.76503,96399.51867,18751.0362,25335.365,22108.62351,25523.17036,91718.19507,17707.67219,23439.02098,18840.82719,24423.48841,84411.00877
Hog,..Region X -(Northern Mindanao),33589,32859,30843,39227,136518,35131,34617,32846,41879,144473,37636,35562,35119,44765,153082,39197,37467,36326,46757,159747,40870,38405,37247,47456,163978,41984,39163,39198,49666,170011,43868,42887,39885,51032,177672,45495,45577,42863,54513,188448,48325,47800,44064,56434,196623,50264,48730,45359,56611.73,200964.73,51065.308,50846.657,50100.878,58018.9598,210031.8028,50830.44,52824.49,51778.95609,62032.152,217466.0381,58690.805,50322.58501,54287.779,56616.152,219917.321,55457.125,50974.525,54502.64252,59045.58193,219979.8745,57491.60201,53567.16441,53302.9869,53938.47361,218300.2269
Hog,..Region XI (Davao Region),32373,27865,32668,34796,127702,32607,30755,33365,35376,132103,33574,31419,33789,35823,134605,32638,32472,32828,35909,133847,34108,33145,33108,35878,136239,37095,34418,35217,36578,143308,38215,35999,36873,38070,149157,39824,36175,37527,38073,151599,40703,35846,37709,40526,154784,39618,37699,37736,40840.9,155893.9,39198.78449,35210.44857,36645.651,39135.53778,150190.4218,32734.68,29930.34,35074.4912,38558.44393,136297.9551,34735.53861,31515.31839,35158.75703,37230.81388,138640.4279,34248.36,31074.87472,36161.20992,38322.00317,139806.4478,32768.28628,30842.32438,35017.58531,38193.33245,136821.5284
Hog,..Region XII (SOCCSKSARGEN),31736,29209,28696,29552,119193,30159,27731,29656,30303,117849,30544,28077,29850,29585,118056,29136,28621,30622,29873,118252,29981,28083,31257,30490,119811,30774,28499,29649,29449,118371,29470,30099,30103,29375,119047,28787,26937,31098,30919,117741,28443,26020,31119,31709,117291,31079,28546,31889,33079.53,124593.53,30493.351,27802.529,34295.685,30217.234,122808.799,29419.72,28966.45,34331.71132,31970.673,124688.5543,29767.75978,31396.111,36444.65515,29549.5494,127158.0753,23796.171,22980.19,24403.079,27097.09627,98276.53627,25308.43771,24963.84839,26677.66236,29896.28922,106846.2377
Hog,..Region XIII (Caraga),10541,10559,10990,16644,48734,9359,10222,9598,12674,41853,9390,9645,9021,12594,40650,9025,9430,8814,13047,40316,8863,9481,8948,12533,39825,9376,9605,8365,12243,39589,10080,10948,9262,12098,42388,10264,9918,9799,12207,42188,9066,9756,9997,11870,40689,8592,9485,10545,11872.62,40494.62,9360.153,8703.919,9323.074385,11104.588,38491.73439,8557.67,8329.85009,6800.50821,7598.315155,31286.34346,5966.912833,7123.267457,5787.528646,5800.887124,24678.59606,5728.216,5425.259398,5138.119201,5296.89704,21588.49164,5645.108644,4572.75584,4666.99909,5286.68099,20171.54456
Hog,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),2681,2417,3033,3841,11972,3657,2570,2980,4359,13566,3715,3030,3012,2689,12446,3074,2884,2699,2767,11424,3136,2612,2547,2753,11048,2973,2566,2396,2940,10875,3158,2357,2021,2672,10208,2940,2124,1990,2892,9946,3107,2186,2191,3071,10555,3224,2349,2092,3102.002,10767.002,3342.78,2160.70166,2212.137837,2811.405,10527.0245,3432,2591.57,2101.331962,2891.097,11015.99896,3734.896667,2512.352,1819.585,3444.57,11511.40367,2821.63,1678.005,1904.602,3555.476,9959.713,3023.55,1826.780579,2015.94,2215.45116,9081.721739
Chicken,PHILIPPINES,332090,328207,330252,362578,1353127,344594.68,340768.19,347895.17,381031.15,1414289.19,370023,352194,355593,401625.4,1479435.4,383717,376536,372691,422126,1555070,393412,383893,361782,432675,1571762,414179.34,404933.9,393522.62,448176.7,1660812.57,412990.61,404830.93,400950.73,455732.32,1674504.59,419302.56,442566.89,411057.37,472961.61,1745888.43,439955.88,462704.1,428767.59,505236.02,1836663.6,459059.59,477112.54,465147.28,526094.55,1927413.97,453723.02,439995.87,431769.63,484364.02,1809852.55,402769.8,433110.31,425892.22,483028.03,1744800.36,455036.26,463116.21,454379.76,494120.13,1866652.36,470207.84,477757.03,464966.54,534002.47,1946933.88,506277.23,520476.45,492759.21,560741.58,2080254.46
Chicken,..National Capital Region (NCR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,7.31,234.43,247.2,491.75,238.73,218.25,220.42,220.5,897.9,243.03,315.82,308.22,206.02,1073.09,341.53,203.51,174.61,28.84,748.5
Chicken,..Cordillera Administrative Region (CAR),1604,1851,1996,2297,7748,1652,1954.26,2044,2048,7698.26,1661,1525,1924,2145,7255,1785,1582,1949,2043,7359,1649,1552,1894,2086,7181,1755.23,1819.53,1966.7,2195.01,7736.48,1786.71,1683.89,2021.68,2109.43,7601.7,1873.05,1710.72,2057.73,2282.87,7924.37,1913.81,1844.24,1639.03,1880.45,7277.52,1600.98,1381.25,1689.6,1950.15,6621.97,1510.68,1247.96,1505.74,1871.79,6136.17,1509.56,1454.69,1381.82,1568.01,5914.08,1685.22,1546.51,1442.64,1764.4,6438.78,1506.05,1894.31,1319.08,1877.36,6596.79,1393.4,2031.94,1479.94,1713.07,6618.34
Chicken,..Region I (Ilocos Region),18243,18225,17064,21389,74921,17781.68,18680.71,17531,21376,75369.38,20070,19997,19243,22085,81395,21370,22017,19259,20613,83259,20341,22364,18993,20764,82462,21311,21579,18989,20950,82829,19888.82,20022.33,17601.01,21247.83,78759.99,19992.35,20787.87,17207.36,20091.8,78079.38,21617.98,22860.4,18528.33,21926.18,84932.89,20708.1,21564.18,19252.66,22705.63,84230.56,21903.05,21909.35,18597.75,22124.54,84534.68,20809.19,19703.58,14648.06,21119.24,76280.08,22540.84,19236.21,18906.35,25968.73,86652.12,25534.44,20966.17,21025.35,23905.5,91431.46,20498.04,23518.24,19012.9,22905.46,85934.64
Chicken,..Region II (Cagayan Valley),8317,10421,10754,9917,39409,9617.19,10825.55,12983.99,13542.54,46969.27,13363,10473,14508,13413,51757,13870,13486,13664,14505,55525,14033,13911,14432,15320,57696,14830,14273,14777,15439,59319,14839.13,15245.36,15552.82,15006.73,60644.04,14116.68,15571.44,14771.9,14317.33,58777.35,14702.17,14393.46,14890.29,13907.79,57893.71,14348.15,13038.06,14261.37,13724.05,55371.63,12482.98,12532.5,14514.23,14162.93,53692.64,16243.4,12420,15128.17,15653.94,59445.51,12381.89,12600.61,13416.41,13012.16,51411.07,12630.66,12819.24,13727.49,12566.93,51744.32,12562.05,12612.36,13778.32,14425.42,53378.15
Chicken,..Region III (Central Luzon),112539,115722,114950,115111,458322,115197.38,121487.59,118560.11,119487.49,474732.57,124412,130144,122334,128276,505166,138908,139023,130865,141049,549845,149523,142178,128115,150310,570126,160405,151870,140917,156317,609509,154381.91,150181.9,138707.91,147720.78,590992.5,150574.01,168984.32,145210.96,159917.04,624686.33,162321.41,176889.69,145082.21,174616.04,658909.35,166543.82,179285,164440.67,189385.91,699655.4,155158.24,155052.37,157385.82,167787.93,635384.37,131934.52,140401.98,152037.75,169497.81,593872.06,167626.31,157896.32,145211.84,179140.29,649874.75,162440.58,154124.44,151967.63,186881.59,655414.23,170918.62,166791.65,155269.67,181546.63,674526.57
Chicken,..Region IV-A (CALABARZON),68222,64253,70099,76928,279502,69601,64389.1,72826,78208,285024.1,74707,63692,73077,86882,298358,68721,65138,78093,90617,302569,69811,68610,70543,89578,298542,74447,73910,78926,94387,321670,73562.57,72672.17,83275.95,98919.16,328429.85,75420.62,77431.56,79593.17,96200.39,328645.74,75997.29,78803.18,80842.75,95296.92,330940.14,77325.21,80540.93,87012.33,98386.21,343264.69,80702.82,82443.43,72381.4,81658.53,317186.18,73953.22,87902.02,66405.01,71946.03,300206.28,76987.99,86190.43,69453.45,78726.68,311358.56,81056.37,93900.12,77208.56,86247.57,338412.61,90891.93,98718.58,90952.79,100265.08,380828.38
Chicken,..MIMAROPA Region,2310,1996,2432,2790,9528,2480,2071.08,2557,2896,10004.08,2822,2195,2964,2885,10866,2775,2030,2717,2875,10397,2782,1992,2631,2935,10340,2716,2050,2809,3068,10643,2541.29,2112.58,2684.01,2962.84,10300.72,2512.94,2082.74,2649.45,2909.29,10154.41,2542.07,2188.24,2975.13,3162.3,10867.74,2691.4,2296.1,2993.75,3192.37,11173.62,2701.79,2091.47,3122.27,2989.47,10905,2402.57,2154.61,3146.71,3763.8,11467.69,3125.09,2122.83,3760.74,4325.6,13334.28,4891.9,3084.65,3251,3781.55,15009.11,6714.04,4037.32,4094.83,6716.78,21562.98
Chicken,..Region V (Bicol Region),6206,6184,6514,6588,25492,6564.55,6569.62,6419.75,7413.66,26967.58,6694,7860,5733,7245,27532,7846,10539,6968,9114,34467,8765,11437,7187,9055,36444,9006.48,11721.43,8653,10661,40041.9,10075.85,11381.34,9340.68,11442.86,42240.73,10284.93,12021.68,10065.39,11595.27,43967.27,11219.21,12541.33,11085.82,12331.19,47177.55,12079.3,15141.39,14632.41,13031.02,54884.12,10939.92,10007.94,13672.94,11666.79,46287.59,15136.4,11433.1,11553.92,12542.57,50665.99,14522.31,15588.27,15993.2,11194.22,57298.01,13884.5,17597.36,15746.84,13167.74,60396.44,13508.51,18543.73,14454.73,13787.54,60294.51
Chicken,..Region VI (Western Visayas),18896,18570,19772,22378,79616,21227.6,19688.87,20538,24181,85635.47,22868,21236,21526,25191,90821,25032,23213,22825,23757,94827,21441,19532,20477,22886,84336,22988.7,20706.63,22335,23880,89910.33,24046.52,22203.56,24498.55,25086.14,95834.77,26234.46,24923.85,24513,28146.51,103817.82,27335.39,26051.13,26956.26,29668.76,110011.54,28420.95,27928.68,30612.31,30476.67,117438.62,28992.35,28852.66,29018.47,30155.89,117019.37,29470.2,29534.11,30871.77,30366.09,120242.18,28898.32,30688.96,34639.84,31713.77,125940.88,31567.71,32215.12,32840.81,35302.02,131925.65,34621.4,32800.08,34949.88,38395.47,140766.83
Chicken,..Region VII (Central Visayas),21353,18260,17552,21342,78507,22774,19362.18,19102,23020,84258.18,23691,20757,19605,23361,87414,23390,20753,20686,23504,88333,24243,21711,21330,24930,92214,25140,23749,23592,25135,97616,25907.61,23572.92,24092.18,26170.24,99742.96,26097.21,25790.11,26178.02,26779.87,104845.2,28076.35,27723.09,28280.53,31034.22,115114.18,30882.65,28523.09,28561.34,30660.76,118627.83,31368.18,24002.23,23685.8,29648.36,108704.57,17499.58,25642.86,23846.85,32372.09,99361.38,20317.13,26382.78,32477.69,27288.55,106466.14,20822.36,29666.34,29714.5,34215.75,114418.96,31836.64,38431.55,35206.21,41622.28,147096.69
Chicken,..Region VIII (Eastern Visayas),8958,10825,10908,12588,43279,9327.01,9704.13,10799.29,11845.44,41675.87,9516,8857,9973,11980.4,40326.4,9985,8263,9137,8075,35460,7243,6509,8862,7808,30422,5705,6176,9176,7290,28347,8996.14,7216.11,8930.5,11151.06,36293.82,10487.12,13734.37,12092.3,13005.65,49319.44,12021.49,13096.65,14279.83,15602.27,55000.24,13828.84,17335.07,14484.59,16673.18,62321.68,14258.5,14038.05,12930.83,15360.42,56587.8,14586.57,14266.23,13815.73,15069.75,57738.28,13041.91,14089.19,14133.29,12815.91,54080.3,13881.07,15872.28,17244.03,20684.78,67682.16,16073.55,18259.62,20295.13,22405.83,77034.14
Chicken,..Region IX (Zamboanga Peninsula),7668,6371,5527,5908,25474,7735,7312.11,6377,6804,28228.11,7454,5781,6122,6038,25395,6210,7337,5709,7444,26700,6500,7176,5765,7051,26492,6956,7570,5850,7450,27826,6875.76,8654.75,7086.82,7586.19,30203.51,7320.91,8771.94,7478.47,8414.93,31986.25,6913.59,9314.46,7422.16,10586.15,34236.37,7610.54,10507.52,8405.74,9952.21,36476.01,8174.39,9365.8,8048.32,10259.16,35847.67,8358.06,10086.58,11421.91,9822.04,39688.59,9812.84,8595,7919.26,10003.7,36330.81,7951.58,9745.9,9507.09,10800.49,38005.05,9039.43,10220.95,9953.79,11240.87,40455.04
Chicken,..Region X -(Northern Mindanao),29070,28846,25807,35066,118789,31048.28,30193.2,29380.02,37308.02,127929.52,32430,30668,28102,38884,130084,33381,31720,29127,41729,135957,34340,33355,30420,42407,140522,35532.16,34226.32,32159.03,44111.13,146028.65,37692.91,35549.37,33203.28,46355.94,152801.5,39938.7,36658.39,34481.88,48006.57,159085.55,40388.65,37465.15,36427.21,50391.32,164672.34,41936.1,37753.54,38100.85,52230.03,170020.52,44106.44,39810.9,35441.96,51572.32,170931.62,38333.72,36918.3,36048.85,51844.41,163145.28,43668.02,40532.8,42652.43,50292.03,177145.27,44216.2,39083.9,40768.81,54333.92,178402.83,46166.78,40649.17,41205.54,55356.16,183377.65
Chicken,..Region XI (Davao Region),15195,14074,14255,17217,60741,15534,14371,14399,18373,62677,15629,15329,15452,17817,64227,15340,15525,17107,19409,67381,16442,16486,15450,20046,68424,17512,18689,17466,19915,73582,16741.86,17536.85,16590.28,21138.21,72007.2,16648.08,16354.25,17467.68,21288.04,71758.06,15615.29,18734.03,19235.74,22756.25,76341.31,19427.92,20842.74,19667.35,21151.68,81089.7,18271.55,17501.88,18998.77,19607.84,74380.04,11517.39,18214.66,21167.45,19345.72,70245.22,12802.8,19228.28,25121.57,19531.89,76684.55,20640.66,18794.16,23913.11,21260.42,84608.34,22045.48,25958.79,23713.71,22081.17,93799.14
Chicken,..Region XII (SOCCSKSARGEN),8136,8476,8321,8814,33747,9165,10094.95,9824,10314,39397.95,10306,10011,11175,11511,43003,10881,12010,10023,12325,45239,11853,12530,11117,12470,47970,11125,11913.22,11551,12553,47142.22,10684.26,12605.11,13019.59,13534.91,49843.88,12341.52,13811.89,12427.63,14821.49,53402.53,13854.5,15820.75,15952.91,16287.81,61915.98,16389.01,16020.9,16543.83,16609.73,65563.46,17661.26,16249.75,17750.76,19547.16,71208.93,16307.92,18573.88,19279.32,21871.14,76032.26,22795.78,23335.84,24263.33,22249.47,92644.43,23255.02,22044.86,20682.37,21810.28,87792.53,23506.28,21505,22338.5,20636.08,87985.85
Chicken,..Region XIII (Caraga),3743,3021,2429,2411,11604,3283,3040.35,2631,2304,11258.35,3001,2586,2314,2118,10019,2811,2957,2988,3145,11901,3279,3534,3180,3171,13164,3635.76,3536.78,3007.75,3072.52,13252.82,3580.08,3365.75,3257.4,3660.96,13864.19,4013.53,3115.8,3776.54,3684.93,14590.8,3987.73,4066.2,4073.7,4149,16276.63,3774.41,3987.51,3532.35,4219.14,15513.4,3782.52,3681.81,3746.01,4201.22,15411.55,3860.73,3270.93,3755.32,3681.41,14568.38,3354.1,3666.54,3666.87,3480.87,14168.37,4131.78,4130.55,4473.08,3993.7,16729.11,4109.08,4495.75,4330.9,4470.42,17406.14
Chicken,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1630,1112,1872,1834,6448,1607,1023.5,1923,1910,6463.5,1399,1083,1541,1794,5817,1412,943,1574,1922,5851,1167,1016,1386,1858,5427,1114,1144,1348.13,1753.03,5359.16,1389.17,826.94,1088.06,1639.05,4943.22,1446.43,815.97,1085.89,1499.63,4847.93,1448.95,912.09,1095.69,1639.39,5096.13,1492.24,966.59,956.13,1745.82,5160.77,1708.37,1207.77,968.56,1749.67,5634.38,843.96,1125.47,1149.13,2316.79,5435.35,1236.99,1197.37,1100.43,2391.36,5926.16,1553.94,1501.81,1268.58,2966.85,7291.18,2050.46,1698.21,1547.77,3144.48,8440.92
Chicken eggs,PHILIPPINES,94559,99070,95006,98700,387335,99227,101140.16,98428.86,104636.67,403432.69,106096.81,107047.82,103546.46,104365.51,421056.6,107744,110838,106029,103075,427686,105201,104243,97933,108275,415652,111824,107848,107631.06,117247,444550.06,117842,114700,112968,116209,461719,121535,121453,121627,127791,492406,130549,131095,133717,138544,533905,142011,141451,145544,154228,583234,148171.46,148453.11,154294.82,154866.77,605786.16,152050.78,167934.38,166823.16,174582.18,661390.51,170967.7,185581.33,176959.05,174991.54,708499.62,175726.87,181740.23,185255.41,188639.3,731361.82,179883.17,198286.71,197406.4,207202.39,782778.67
Chicken eggs,..National Capital Region (NCR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,5.55,1.06,0.07,17.49,0,0,0,0,0,0,0,1.6,0,1.6,26.95,22.44,12.07,5.48,66.94
Chicken eggs,..Cordillera Administrative Region (CAR),727,701,691,764,2883,678,726,617,810,2831,743.37,719.15,625,791.59,2879.11,768,859,735,836,3198,740,856,755,941,3292,888,965,768,985,3606,854,890,794,967,3505,737,854,874,932,3397,906,1058,1025,947,3936,811,1073,1045,1143,4072,976.22,1189.12,1197.79,1244.81,4607.94,1122.61,1456.01,1205.78,1108.06,4892.46,1316.14,1387.15,1154.86,1293.39,5151.54,1305.93,1442.7,1239.29,1153.58,5141.5,1240.85,1192.05,1039.84,967.06,4439.8
Chicken eggs,..Region I (Ilocos Region),4371,4432,3688,4284,16775,4076,4299,3896,4191,16462,4093.06,4215.75,3734,4193.08,16235.88,3968,3296,2947,3656,13867,3290,3152,2998,3345,12785,3351,3278,3413,4045,14087,3964,3279,3274,3564,14081,3743,3532,4322,4668,16265,4768,4372,4662,4786,18588,5089,4649,4843,4997,19578,5250.67,4848.34,5436.75,5694.13,21229.89,5534.44,5134.44,5081.17,4831.52,20581.58,5019.78,4900.75,5379.92,5802.35,21102.79,4986.82,4822.29,5011.68,4692.18,19512.97,4576.05,5191.85,5894.59,6816.81,22479.3
